"species","year","doy","lat","lon","elevation","temperature"
"Campanula cochleariifolia",2006,228,47.16,9.3,2011,2.15325203252036
"Campanula cochleariifolia",2006,228,47.16,9.3,1812,2.15325203252036
"Campanula cochleariifolia",2006,228,47.16,9.3,2011,2.15325203252036
"Campanula cochleariifolia",1944,188,47.39,9.65,NA,12.2727642276423
"Campanula cochleariifolia",1944,188,47.39,9.65,NA,12.2727642276423
"Campanula cochleariifolia",1944,188,47.39,9.65,NA,12.2727642276423
"Campanula cochleariifolia",2006,235,46.81,9.82,1985,2.25081300813012
"Campanula cochleariifolia",1979,188,46.59,10.41,1800,3.90869565217395
"Campanula cochleariifolia",1987,194,46.8,9.41,600,9.06300813008133
"Campanula cochleariifolia",2006,235,46.81,9.82,1978,2.25081300813012
"Campanula cochleariifolia",1984,199,46.76,8.88,1500,2.65975609756101
"Campanula cochleariifolia",2006,235,46.81,9.81,2199,0.902845528455317
"Campanula cochleariifolia",1959,183,46.85,9.27,1500,3.57520325203255
"Campanula cochleariifolia",1988,193,46.8,9.41,600,11.4706521739131
"Campanula cochleariifolia",1956,222,46.6,9.96,1727,3.33211382113824
"Campanula cochleariifolia",2006,235,46.81,9.82,1978,2.25081300813012
"Campanula cochleariifolia",2006,235,46.81,9.82,1806,2.25081300813012
"Campanula cochleariifolia",1945,180,46.67,9.69,1046,10.7290322580645
"Campanula cochleariifolia",1977,195,46.92,10.36,2070,-0.411788617886145
"Campanula cochleariifolia",1996,189,42.88,13.2,1550,6.67520325203255
"Campanula cochleariifolia",2013,200,47.56,11.48,790,9.53292682926833
"Aster alpinus",1980,228,52.26,93.1,570,9.01504065040654
"Aster alpinus",1961,200,53.35,57.78,NA,8.25000000000003
"Aster alpinus",1959,197,43.24,42.48,NA,-1.36951219512191
"Aster alpinus",1967,213,62.66,8.7,130,3.96219512195125
"Aster alpinus",1977,210,55.87,-86.77,NA,1.92154471544719
"Aster alpinus",1987,213,62.54,9.11,NA,5.75000000000003
"Aster alpinus",2013,198,60.41,-137.61,NA,5.67520325203255
"Aster alpinus",1973,176,68.73,-136.32,NA,2.83699186991873
"Aster alpinus",2014,205,47.76,15.84,1795,4.74024390243906
"Aster alpinus",1948,196,61.77,-138.62,NA,6.04838709677423
"Aster alpinus",1989,207,59.17,-125.83,NA,5.64430894308947
