species,filename,year,month,day,eventDate,doy,decimalLatitude,decimalLongitude,elevation,elevationAccuracy,coordinateUncertaintyInMeters,verbatimElevation,n_leaves,area,perimeter,bbox_min_long_side,bbox_min_short_side,aspect_ratio,circularity,convexity,concavity
Geum montanum,5887172383,1875,7,NA,1875-07,NA,47.054354,9.813853,NA,NA,NA,NA,10,0.9949999999999999,5.515000000000001,1.645,0.96,1.1321945,0.3914395,0.881607,0.118393
Geum montanum,5887172384,1985,7,12,1985-07-12T00:00,193,46.958976,10.37174,1940,NA,NA,1940m,7,1.44,8.41,2.44,1.17,0.798742,0.308228,0.780561,0.219439
Geum montanum,5887172386,1852,11,4,1852-11-04T00:00,309,46.536116,9.751279,2438,NA,1805,8000',3,0.9,4.7,1.25,1.07,1.145455,0.457326,0.915921,0.084079
Geum montanum,5887172387,1850,7,NA,1850-07,NA,46.545063,9.804984,2821,NA,6375,NA,5,5.5,12.39,3.88,2.51,1.711286,0.378446,0.89403,0.10597
Geum montanum,5887172391,1841,7,NA,1841-07,NA,46.668868,10.072697,NA,NA,44218,NA,12,1.8199999999999998,6.425000000000001,1.98,1.4649999999999999,1.1052685,0.491364,0.9125325,0.0874675
Geum montanum,5887172399,1919,6,26,1919-06-26T00:00,177,46.333816,9.647212,2169,NA,548,NA,9,1.56,8.94,2.03,1.57,1.056689,0.408599,0.88464,0.11536
Geum montanum,5887172400,1915,5,23,1915-05-23T00:00,143,46.490404,9.825027,1960,NA,489,NA,10,2.385,8.795,2.165,1.85,1.0213455,0.4850635,0.878107,0.121893
Geum montanum,5887172404,1885,7,NA,1885-07,NA,46.872631,9.881846,1217,NA,NA,NA,8,0.605,3.395,1.065,0.8,1.100071,0.614344,0.9296475,0.0703525
Geum montanum,5887172407,1902,8,NA,1902-08,39,46.918231,9.643233,NA,NA,NA,NA,7,2.8,8.92,2.18,2.01,1.142259,0.43115,0.893555,0.106445
Geum montanum,5887172408,1930,7,NA,1930-07,NA,46.855559,9.57797,1750,NA,859,1750m,16,3.76,9.85,2.635,1.915,1.001929,0.481421,0.9127305,0.0872695
Geum montanum,5887172409,1893,6,19,1893-06-19T00:00,170,46.540669,9.895822,1750,NA,419,NA,21,2.75,8.64,2.33,1.78,1.065934,0.449851,0.889015,0.110985
Geum montanum,5887172411,1904,7,19,1904-07-19T00:00,201,46.728142,9.554059,NA,NA,NA,NA,12,2.435,7.255,2.355,1.83,0.6676139999999999,0.408856,0.8587009999999999,0.141299
Geum montanum,5887172413,1923,7,5,1923-07-05T00:00,186,46.462608,9.210908,2000,NA,486,2000m,8,3.7399999999999998,11.030000000000001,3.15,2,1.1212145,0.44733449999999997,0.9077665,0.0922335
Geum montanum,5887172419,1930,7,NA,1930-07,NA,46.855559,9.57797,1750,NA,859,1750m,23,2.2,7.51,2.07,1.55,0.982544,0.414487,0.895922,0.104078
Geum montanum,5887172421,1902,8,24,1902-08-24T00:00,236,46.654573,10.233112,NA,NA,11717,NA,10,2.245,7.575,2.205,1.4300000000000002,0.9374885,0.4611305,0.8902384999999999,0.1097615
Geum montanum,5887172423,1884,7,23,1884-07-23T00:00,205,46.476642,9.509873,2060,NA,297,2060m,19,2.93,8.64,2.32,1.72,0.971014,0.459663,0.901546,0.098454
Geum montanum,5887172424,1888,8,11,1888-08-11T00:00,224,46.582777,9.845175,NA,NA,4530,NA,8,1.645,9.17,1.98,1.4449999999999998,1.08362,0.3830165,0.8406345,0.1593655
Geum montanum,5887172431,1899,7,30,1899-07-30T00:00,211,46.69272,9.920264,2610,NA,NA,NA,8,1.8399999999999999,6.625,1.86,1.455,0.8316615,0.456677,0.912954,0.087046
Geum montanum,5887172432,1903,7,11,1903-07-11T00:00,192,46.786791,9.831208,1887,NA,255,NA,6,1.055,5.005,1.5750000000000002,0.805,0.8616165,0.4258185,0.8848945,0.1151055
Geum montanum,5887172433,1884,7,25,1884-07-25T00:00,207,46.496416,9.559413,2400,NA,1416,2400m,20,3.1950000000000003,10.754999999999999,3.075,1.98,1.2227459999999999,0.43729799999999996,0.8722665000000001,0.1277335
Geum montanum,5887172438,1906,8,6,1906-08-06T00:00,218,46.429783,10.022165,2500,NA,1184,2500m,16,6.785,14.475000000000001,3.65,3.005,0.9944089999999999,0.3432,0.863586,0.13641399999999998
Geum montanum,5887172439,1909,6,15,1909-06-15T00:00,166,46.475448,9.828661,NA,NA,574,NA,15,1.89,7.06,2.2,1.18,0.934959,0.475836,0.910828,0.089172
Geum montanum,5887172440,1879,8,29,1879-08-29T00:00,241,46.410926,10.027645,2329,NA,NA,NA,9,2.54,8.6,2.46,1.75,0.888889,0.530082,0.911228,0.088772
Geum montanum,5887172441,1946,6,19,1946-06-19T00:00,170,46.629803,9.746399,1362,NA,NA,NA,15,3.84,8.6,2.54,2.1,1.057199,0.605866,0.938511,0.061489
Geum montanum,5887172442,2005,7,12,2005-07-12T00:00,193,46.494387,9.224801,2260,NA,NA,2260m,8,0.22,2.23,0.735,0.48,0.8260080000000001,0.48823950000000005,0.8751880000000001,0.124812
